x,Curve1
7.8864,0.272013
7.9328,0.272029
9.1248,0.272013
10.3633,0.272013
11.6018,0.272013
12.8402,0.272013
14.0787,0.272013
15.3172,0.272013
16.5556,0.272013
17.7941,0.272013
19.0326,0.272013
20.271,0.272013
21.5095,0.272013
22.748,0.272013
23.9864,0.272013
25.2249,0.272013
26.4634,0.272013
27.7018,0.272013
28.9403,0.272013
30.1788,0.272013
31.4172,0.272013
32.6557,0.272013
33.8942,0.272013
35.1326,0.272013
36.3711,0.272013
37.6096,0.272013
38.848,0.272013
40.037,0.272279
41.2754,0.272013
42.5139,0.272013
43.7524,0.272013
44.9908,0.272013
46.2293,0.272013
47.4678,0.272013
48.7062,0.272013
49.5112,0.272029
