x	Enstrophy P2 - Wang 2021
0.1008	0.6864
0.841	0.6354
1.6182	0.5971
2.4325	0.5842
3.2097	0.6093
3.9869	0.6218
4.8381	0.6597
5.6893	0.6721
6.5405	0.71
7.3918	0.7478
8.28	0.811
9.1312	0.8616
10.0195	0.9502
10.8707	1.0389
11.7219	1.1529
12.4621	1.3178
13.2023	1.4953
13.7945	1.7237
14.3126	1.9775
14.6827	2.2568
15.0158	2.5487
15.3489	2.8534
15.608	3.1454
15.83	3.45
16.0521	3.7674
16.2371	4.0721
16.4222	4.3895
16.5702	4.6942
16.7183	5.0116
16.9403	5.3163
17.0513	5.6337
17.1069	5.9575
17.2549	6.2114
17.3659	6.4463
17.4585	6.7066
17.6065	6.878
17.7545	7.1954
17.8285	7.4366
17.9766	7.754
18.1246	8.0587
18.1801	8.319
18.3467	8.6872
18.4947	8.9792
18.5687	9.2459
18.8463	9.6458
18.8833	9.9124
18.9944	10.1219
19.1609	10.433
19.3089	10.7504
19.3645	11.017
19.457	11.2583
19.6235	11.5058
19.642	11.7788
19.8086	11.9883
19.9196	12.2486
20.0121	12.5025
20.0862	12.6866
20.1972	12.9215
20.3082	13.2389
20.4562	13.5563
20.5673	13.861
20.6783	14.1784
20.7893	14.4959
20.9004	14.8133
21.0114	15.1307
21.1224	15.4354
21.2335	15.7528
21.3815	16.0702
21.5665	16.3749
21.7886	16.6923
22.3438	16.781
22.7138	16.4889
22.7879	16.3619
23.0099	16.0571
23.269	15.7522
23.6021	15.4474
24.2313	15.2948
24.7124	15.5614
25.1195	15.8533
25.6006	16.1198
25.7116	16.2595
26.2668	16.5133
26.896	16.7162
27.5991	16.6525
28.4134	16.5253
28.9315	16.2585
29.3386	15.9791
29.6717	15.6742
30.0788	15.3947
30.4859	15.1153
31.0041	14.8612
31.4852	14.5944
31.9293	14.3149
32.4104	14.0481
33.0026	13.8066
33.7428	13.6287
34.1499	13.5778
34.9271	13.4125
35.4452	13.1583
35.6673	13.0059
36.2595	12.7772
36.9997	12.5992
37.5918	12.6244
38.406	12.5099
39.1462	12.3192
39.7384	12.0905
40.3305	11.849
40.8857	11.5949
41.4778	11.3535
42.07	11.1121
42.9212	11.0356
43.8095	11.0227
44.6977	10.9462
45.4379	10.7809
46.2151	10.6156
47.0293	10.4757
47.9176	10.412
48.6948	10.2467
49.435	10.0814
50.2492	9.9288
51.0264	9.7762
51.7296	9.5728
52.4698	9.3694
53.173	9.1788
53.9502	9.0135
54.8384	8.9878
55.7266	9.0511
56.5779	9.1651
57.4291	9.2283
58.2803	9.3424
59.2056	9.3294
60.0938	9.3038


