x,Re20
0.0099,-1.00035
0.0715,-0.98241
0.1454,-0.94372
0.3268,-0.83539
0.4914,-0.70174
0.65,-0.53643
0.7392,-0.45272
1.034,-0.1374
1.2616,0.05578
1.4674,0.19815
1.519,0.235
1.5859,0.2685
1.7168,0.31149
1.8137,0.33271
1.9412,0.34667
2.13,0.34778
2.3324,0.33103
2.4086,0.31037
2.5153,0.28246
2.6676,0.24114
2.7727,0.19926
2.9083,0.15069
3.3164,0.01278
3.5522,-0.04261
3.7857,-0.07813
3.9722,-0.09185
4.1797,-0.09642
4.4879,-0.08728
4.8079,-0.06196
5.0685,-0.03663
5.3889,-0.00814
5.6089,0.00839
5.868,0.0214
6.0968,0.02984
6.3346,0.03019
6.5622,0.02843
6.9179,0.0207
7.2834,0.01225
7.6289,0.00205
7.975,-0.00287
8.3708,-0.00674
8.6183,-0.00815
9.0746,-0.00287
9.5507,0.0024
9.9669,0.0031
11.0729,0.0038
12.9074,0.00317
15.0542,0.0038
50.0005,0.00373
