t,h
2.00878,0.13448
2.08193,0.14787
2.12046,0.1492
2.14551,0.13458
2.16459,0.11628
2.18999,0.10348
2.19927,0.09366
2.25676,0.09611
2.33309,0.10655
2.40624,0.12143
2.47938,0.13483
2.55253,0.14822
2.59809,0.14897
2.61294,0.13641
2.65106,0.1053
2.72738,0.10684
2.80053,0.11876
2.87368,0.13512
2.92049,0.1395
2.94363,0.13221
2.96905,0.11982
3.0072,0.11002
3.04728,0.11194
3.08352,0.11749
3.15667,0.13237
3.22982,0.14428
3.27887,0.14506
3.29658,0.13395
3.31859,0.11508
3.35062,0.10879
3.37853,0.10836
3.42693,0.11329
3.50326,0.12669
3.57641,0.13861
3.63157,0.14503
3.64955,0.14311
3.68519,0.13507
3.70676,0.11943
3.72113,0.11068
3.77035,0.11652
3.8435,0.12695
3.91664,0.13886
3.95396,0.12026
3.97386,0.11667
3.98865,0.11146
