t,p
3.01045,48.65
3.05403,-34.32
3.09283,-73.41
3.11289,-65.84
3.18415,-43.68
3.25541,-37.31
3.31117,22.71
3.32828,41.4
3.36025,37.04
3.37623,54.33
3.42581,108.03
3.46918,44.93
3.51875,-27.62
3.54283,-59.88
3.56865,-71.13
3.57762,-55.98
3.63958,-24.36
3.68545,0.99
3.73525,-45.94
3.79759,26.27
3.84716,83.13
3.88433,152.6
3.9,180.29
3.92771,146.32
3.95869,73.75
4.01756,-27.2
4.06713,-87.13
4.12289,-134.43
4.15758,-108.85
4.18176,-87.04
4.22705,-24.24
4.26231,36.13
4.30259,102.44
4.33976,171.92
4.34631,180.66
4.35922,165.64
4.37889,174.43
4.39863,153.03
4.43581,86.77
4.48848,-29.97
4.54424,-80.42
4.6155,-92.99
4.63648,-106.57
4.67213,-113.43
4.68366,-99.25
4.70656,-56.4
4.71947,-43.87
4.73013,-36.08
4.75943,7.52
4.78402,63.29
4.80139,134.42
4.82213,154.76
4.85716,143.94
4.90673,84.01
4.93955,15.82
4.96869,-29.57
5.00897,-95.82
5.05544,-155.75
5.10615,-180.08
5.1205,-165.16
5.14529,-89.39
5.19796,30.6
5.23513,96.91
5.2709,125.7
5.294,144.31
5.33428,81.21
5.39624,-22.9
5.4498,-54.53
5.4582,-67.03
5.48607,-86.44
5.52326,-66.98
5.61311,30.94
5.62807,50.21
5.64775,42.71
5.67664,52.76
5.67817,49.93
5.71783,28.99
5.74242,-1.05
5.76802,-19.43
5.80143,-42.34
5.82379,-69.89
5.85,-89.27
5.87645,-60.37
5.91363,34.35
5.95701,97.51
5.98217,138.19
5.99324,156.99
