t,voidage
2.00797,0.4009
2.04284,0.37703
2.07454,0.34693
2.08803,0.36458
2.10035,0.40609
2.10948,0.42996
2.12101,0.47044
2.16028,0.49223
2.22689,0.50884
2.28041,0.50521
2.303,0.49223
2.32241,0.47096
2.33465,0.40505
2.35044,0.30542
2.3607,0.24055
2.37574,0.20578
2.39909,0.15493
2.4328,0.16427
2.48118,0.18347
2.48676,0.22239
2.50586,0.32202
2.52179,0.42581
2.54481,0.45279
2.58843,0.47148
2.60666,0.45591
2.63278,0.39675
2.65023,0.34711
2.67395,0.30957
2.69769,0.27215
2.73416,0.2473
2.76313,0.25279
2.76629,0.27338
2.77544,0.31372
2.78714,0.38912
2.79772,0.41751
2.80385,0.43896
2.83876,0.41177
2.85164,0.42581
2.87781,0.45955
2.91512,0.48808
2.92189,0.4925
2.96088,0.4542
2.96583,0.42996
2.97467,0.37965
2.98795,0.33033
2.99662,0.27421
3.01325,0.23069
3.03023,0.18689
3.04122,0.16053
3.0576,0.15181
3.08274,0.13458
3.11642,0.14323
3.12421,0.16427
3.13661,0.22025
3.14649,0.26806
3.15714,0.32157
3.16876,0.36769
3.18396,0.42207
3.19738,0.46317
3.2054,0.4785
3.24158,0.48056
3.26399,0.46732
3.27995,0.45378
3.28874,0.41589
3.29881,0.38014
3.31038,0.3224
3.32729,0.28466
3.34809,0.25238
3.3875,0.22239
3.43616,0.20295
3.44373,0.2219
3.44777,0.239
3.45889,0.29933
3.46688,0.33863
3.47627,0.40395
3.49232,0.43826
3.50747,0.47314
3.52165,0.4958
3.54628,0.49638
3.5594,0.49209
3.57574,0.45584
3.59063,0.41751
3.60526,0.37512
3.62545,0.32202
3.63508,0.2808
3.64231,0.26556
3.67297,0.25975
3.72002,0.25361
3.74591,0.239
3.75619,0.23096
3.76787,0.27174
3.77768,0.31372
3.7865,0.36811
3.79678,0.41336
3.8026,0.43978
3.82654,0.46738
3.84441,0.48808
3.8791,0.48879
3.8923,0.46326
3.90781,0.44657
3.9263,0.40402
3.9458,0.35524
3.95984,0.30675
3.97428,0.25975
3.98872,0.21037
